customer_id,age,income,employment_status,loan_amount,loan_type,credit_score,missed_payments,last_payment_date,account_status,region
CUST1000,58.0,46627,Student,401591.0,Personal,772,3,2026-02-01 06:39:58.479418,Default,North
CUST1001,48.0,78251,Student,424494.0,Home,697,2,2026-03-08 06:39:58.479456,Delayed,West
CUST1002,34.0,51831,Salaried,555074.0,Personal,644,5,2026-03-12 06:39:58.479461,Delayed,West
CUST1003,27.0,23009,Self-employed,565303.0,Business,798,4,2026-02-14 06:39:58.479464,Default,South
CUST1004,40.0,136595,Business,567196.0,Personal,634,2,2026-03-02 06:39:58.479467,Delayed,North
CUST1005,58.0,41684,Salaried,793987.0,Home,779,1,2026-04-19 06:39:58.479473,Delayed,West
CUST1006,38.0,68443,Business,544132.0,Business,713,5,2026-02-23 06:39:58.479476,Delayed,South
CUST1007,42.0,110071,Student,194318.0,Business,620,1,2026-02-13 06:39:58.479480,Default,South
CUST1008,30.0,143220,Business,269248.0,Home,755,5,2025-12-12 06:39:58.479487,Active,North
CUST1009,30.0,23009,Self-employed,327941.0,Business,695,5,2026-05-08 06:39:58.479491,Active,East
CUST1010,43.0,85780,,142313.0,Home,643,2,2026-01-19 06:39:58.479494,Default,West
CUST1011,55.0,109389,Self-employed,201601.0,Auto,679,4,2026-02-07 06:39:58.479497,Default,West
CUST1012,59.0,134456,Business,455486.0,Auto,655,4,2026-05-12 06:39:58.479499,Default,West
CUST1013,43.0,122171,Salaried,798423.0,Personal,737,0,2026-02-17 06:39:58.479501,Active,West
CUST1014,22.0,59321,Student,382643.0,Personal,750,4,2025-11-23 06:39:58.479504,Default,West
CUST1015,41.0,96216,,382643.0,Personal,775,3,2026-04-24 06:39:58.479506,Active,West
CUST1016,21.0,53654,Salaried,769366.0,Personal,779,2,2026-01-14 06:39:58.479509,Default,South
CUST1017,43.0,60130,Salaried,570335.0,Home,742,1,2025-12-31 06:39:58.479512,Delayed,North
CUST1018,49.0,22537,Self-employed,430445.0,Auto,654,4,2025-12-27 06:39:58.479514,Active,South
CUST1019,57.0,134456,Business,,Home,642,1,2026-04-27 06:39:58.479517,Active,West
CUST1020,21.0,60130,Self-employed,229243.0,Business,649,0,2026-03-11 06:39:58.479519,Default,North
CUST1021,40.0,147359,Business,781368.0,Business,605,2,2026-01-21 06:39:58.479521,Delayed,West
CUST1022,52.0,131399,Self-employed,793987.0,Business,760,4,2026-04-07 06:39:58.479523,Active,North
CUST1023,31.0,127340,Salaried,104306.0,Business,661,1,2026-02-03 06:39:58.479526,Default,South
CUST1024,41.0,55422,Student,798423.0,Business,654,5,2026-05-09 06:39:58.479528,Delayed,North
CUST1025,44.0,42337,Business,630918.0,Auto,766,4,2026-05-01 06:39:58.479531,Active,South
CUST1026,46.0,123306,,683969.0,Home,739,0,2026-04-03 06:39:58.479533,Default,West
CUST1027,47.0,41889,,537943.0,Business,715,5,2026-02-15 06:39:58.479536,Delayed,North
CUST1028,35.0,59321,Salaried,524406.0,Personal,630,1,2025-12-21 06:39:58.479538,Active,East
CUST1029,34.0,30770,Self-employed,327941.0,Auto,673,1,2025-12-05 06:39:58.479541,Active,East
CUST1030,22.0,81386,Self-employed,201601.0,Personal,780,2,2026-01-12 06:39:58.479543,Delayed,South
CUST1031,56.0,23178,Salaried,517997.0,Auto,633,2,2026-03-13 06:39:58.479545,Default,South
CUST1032,26.0,134817,,734392.0,Auto,768,1,2025-11-25 06:39:58.479548,Default,South
CUST1033,40.0,110071,,201601.0,Personal,609,5,2026-03-29 06:39:58.479550,Delayed,South
CUST1034,28.0,73865,Self-employed,253811.0,Personal,651,2,2026-05-08 06:39:58.479553,Active,West
CUST1035,58.0,126511,Business,251464.0,Business,784,1,2025-12-17 06:39:58.479555,Delayed,East
CUST1036,37.0,41684,Student,143566.0,Personal,677,5,2025-12-12 06:39:58.479557,Delayed,South
CUST1037,23.0,35216,Business,90449.0,Home,602,3,2026-01-09 06:39:58.479559,Delayed,North
CUST1038,44.0,59321,,87355.0,Auto,784,4,2026-03-13 06:39:58.479562,Active,North
CUST1039,33.0,58751,Business,251464.0,Auto,760,3,2026-02-12 06:39:58.479564,Delayed,West
CUST1040,28.0,120766,Student,778468.0,Business,734,3,2026-03-14 06:39:58.479566,Delayed,South
CUST1041,45.0,96216,Business,82309.0,Auto,603,4,2026-02-02 06:39:58.479569,Active,North
CUST1042,21.0,78741,Business,506339.0,Personal,766,1,2026-01-17 06:39:58.479571,Active,South
CUST1043,39.0,118064,Business,629885.0,Auto,647,1,2026-04-09 06:39:58.479574,Delayed,North
CUST1044,47.0,68443,Business,,Auto,673,2,2026-05-06 06:39:58.479576,Default,West
CUST1045,26.0,134817,Salaried,253811.0,Personal,678,0,2025-11-23 06:39:58.479578,Delayed,North
CUST1046,27.0,40666,,314052.0,Personal,743,1,2026-02-05 06:39:58.479580,Active,South
